Debt Service Calculation,,,,,,,,,
,,,,,,,,,
Annual Principal Payment,"Rp20,000,000",,,,,,,,
Annual Interest Payment,"Rp7,000,000",,,,,,,,
Total Debt Service,"Rp27,000,000",,,,,,,,
,,,,,,,,,
DSCR RATIOS,,,,,,,,,
,,,,,,,,,
DSCR (EBITDA BASED),0.60,,,,,,,,
INTEREST COVERAGE,1.70,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Leverage Ratios:,,,,,,,,,
Debt/Equity,1.70,,,,,,,,
Debt/EBITDA,1.39,,,,,,,,
Net Debt/EBITDA,-0.19,,,,,,,,
,,,,,,,,,
Liquidity Ratios:,,,,,,,,,
Current Ratio,7.02,,,,,,,,
Quick Ratio,1.55,,,,,,,,
Working Capital,"Rp35,225,000",,,,,,,,
,,,,,,,,,
Profitability:,,,,,,,,,
Net Margin,3%,,,,,,,,
EBITDA Margin,22%,,,,,,,,
ROA,5%,,,,,,,,
,,,,,,,,,
SCORING MATRIX,,,,,,,,,
,,,,,,,,,
,Skor 5,Skor 4,Skor 3,Skor 2,Skor 1,,,,
DSCR,>= 2.0,1.5-2,1.25-1.5,1.0-1.25,<1.0,,,,
INTEREST COVERAGE,>= 5.0,3.0-5.0,2.0-3.0,1.5-2.0,<1.5,,,,
Debt/EBITDA,<1.5,1.5-2.5,2.5-3.5,3.5-5.0,>5,,,,
Current Ratio,>=2.0,1.5-2.0,1.25-1.5,1.0-1.25,<1.0,,,,
Net Margin,>= 15,10-15%,7-10%,3-7%,<3%,,,,
,,,,,,,,,
SCORING MATRIX,,,,,,,,,
DSCR,1,,,,,,,,
INTEREST COVERAGE,2,,,,,,,,
Debt/EBITDA,5,,,,,,,,
Current Ratio,5,,,,,,,,
Net Margin,1,,,,,,,,
TOTAL SCORE,14,,,,,,,,
REKOMENDASI,ADDITIONAL REVIEW REQUIRED,,,,,,,,
