IDENTITAS DEBITUR,,
IDENTITAS DEBITUR,Informasi,
Nama Perusahaan,PT Quadraplast,
Industri,Plastik,
Tanggal Analisis,16/05/2026,
Plan Kredit yang diminta,"Rp100,000,000",
Tenor (tahun),5,
Suku bunga per tahun,7%,
,,
INCOME STATEMENT,,
,,
,,
Revenue,"Rp72,597,188",
COGS,"Rp45,704,099",
Gross Profit,"Rp26,893,089",
Operating Expenses,"Rp10,701,528",
EBITDA,"Rp16,191,561",
Depreciation & Amortization,"Rp9,000,000",
EBIT ,"Rp7,191,561",
Interest Expense,"Rp4,225,593",
EBT,"Rp2,965,968",
Tax,"Rp1,000,000",
Net Income,"Rp1,965,968",
,,
BALANCE SHEET,,
,,
,,
Cash & Equivalents,"Rp25,500,000",
Trade Receiveables,"Rp8,500,000",
Inventories,"Rp7,000,000",
Other Current Assets,"Rp75,000",
Total Current Assets,"Rp41,075,000",
Total Assets,"Rp41,075,000",
,,
Trade Payables,"Rp5,000,000",
Short-Term-Debt,"Rp500,000",
Other Current Liabilities,"Rp350,000",
Total Current Liabilities,"Rp5,850,000",
Long-Term-Debt,"Rp22,000,000",
Total Debt,"Rp22,500,000",
Total Equity,"Rp13,225,000",
