INPUT SECTION ( LOAN AMORTIZATION ) UP TO 10 YEAR,,,,,,,,
,,,,,,,,
Loan Amount," Rp50,000,000.00 ",,,,,,,
Interest Rate/yr,9.00%,,,,,,,
Tenor(Tahun),20,,,,,,,
Monthly Payment,"Rp449,862.98",,,,,,,
Total Payment,"Rp107,967,114.70",,,,,,,
Total Interest,"Rp57,967,114.70",,,,,,,
,,,,,,,,
AMORTIZATION TABLE,,,,,,,,
,,,,,,,,
Bulan,Opening Balance,Cicilan,Bunga(IPMT),Pokok(PPMT),Closing Balance,,,
1," Rp50,000,000.00 ","Rp449,862.98","Rp375,000.00","Rp74,862.98"," Rp49,925,137.02 ",,,
2," Rp49,925,137.02 ","Rp449,862.98","Rp374,438.53","Rp75,424.45"," Rp49,849,712.57 ",,,
3," Rp49,849,712.57 ","Rp449,862.98","Rp373,872.84","Rp75,990.13"," Rp49,773,722.44 ",,,
4," Rp49,773,722.44 ","Rp449,862.98","Rp373,302.92","Rp76,560.06"," Rp49,697,162.38 ",,,
5," Rp49,697,162.38 ","Rp449,862.98","Rp372,728.72","Rp77,134.26"," Rp49,620,028.12 ",,,
6," Rp49,620,028.12 ","Rp449,862.98","Rp372,150.21","Rp77,712.77"," Rp49,542,315.35 ",,,
7," Rp49,542,315.35 ","Rp449,862.98","Rp371,567.37","Rp78,295.61"," Rp49,464,019.74 ",,,
8," Rp49,464,019.74 ","Rp449,862.98","Rp370,980.15","Rp78,882.83"," Rp49,385,136.91 ",,,
9," Rp49,385,136.91 ","Rp449,862.98","Rp370,388.53","Rp79,474.45"," Rp49,305,662.46 ",,,
10," Rp49,305,662.46 ","Rp449,862.98","Rp369,792.47","Rp80,070.51"," Rp49,225,591.95 ",,,
11," Rp49,225,591.95 ","Rp449,862.98","Rp369,191.94","Rp80,671.04"," Rp49,144,920.91 ",,,
12," Rp49,144,920.91 ","Rp449,862.98","Rp368,586.91","Rp81,276.07"," Rp49,063,644.84 ",,,
13," Rp49,063,644.84 ","Rp449,862.98","Rp367,977.34","Rp81,885.64"," Rp48,981,759.20 ",,,
14," Rp48,981,759.20 ","Rp449,862.98","Rp367,363.19","Rp82,499.78"," Rp48,899,259.41 ",,,
15," Rp48,899,259.41 ","Rp449,862.98","Rp366,744.45","Rp83,118.53"," Rp48,816,140.88 ",,,
16," Rp48,816,140.88 ","Rp449,862.98","Rp366,121.06","Rp83,741.92"," Rp48,732,398.96 ",,,
17," Rp48,732,398.96 ","Rp449,862.98","Rp365,492.99","Rp84,369.99"," Rp48,648,028.97 ",,,
18," Rp48,648,028.97 ","Rp449,862.98","Rp364,860.22","Rp85,002.76"," Rp48,563,026.21 ",,,
19," Rp48,563,026.21 ","Rp449,862.98","Rp364,222.70","Rp85,640.28"," Rp48,477,385.93 ",,,
20," Rp48,477,385.93 ","Rp449,862.98","Rp363,580.39","Rp86,282.58"," Rp48,391,103.35 ",,,
21," Rp48,391,103.35 ","Rp449,862.98","Rp362,933.28","Rp86,929.70"," Rp48,304,173.65 ",,,
22," Rp48,304,173.65 ","Rp449,862.98","Rp362,281.30","Rp87,581.68"," Rp48,216,591.97 ",,,
23," Rp48,216,591.97 ","Rp449,862.98","Rp361,624.44","Rp88,238.54"," Rp48,128,353.43 ",,,
24," Rp48,128,353.43 ","Rp449,862.98","Rp360,962.65","Rp88,900.33"," Rp48,039,453.10 ",,,
25," Rp48,039,453.10 ","Rp449,862.98","Rp360,295.90","Rp89,567.08"," Rp47,949,886.03 ",,,
26," Rp47,949,886.03 ","Rp449,862.98","Rp359,624.15","Rp90,238.83"," Rp47,859,647.19 ",,,
27," Rp47,859,647.19 ","Rp449,862.98","Rp358,947.35","Rp90,915.62"," Rp47,768,731.57 ",,,
28," Rp47,768,731.57 ","Rp449,862.98","Rp358,265.49","Rp91,597.49"," Rp47,677,134.08 ",,,
29," Rp47,677,134.08 ","Rp449,862.98","Rp357,578.51","Rp92,284.47"," Rp47,584,849.60 ",,,
30," Rp47,584,849.60 ","Rp449,862.98","Rp356,886.37","Rp92,976.61"," Rp47,491,873.00 ",,,
31," Rp47,491,873.00 ","Rp449,862.98","Rp356,189.05","Rp93,673.93"," Rp47,398,199.07 ",,,
32," Rp47,398,199.07 ","Rp449,862.98","Rp355,486.49","Rp94,376.48"," Rp47,303,822.58 ",,,
33," Rp47,303,822.58 ","Rp449,862.98","Rp354,778.67","Rp95,084.31"," Rp47,208,738.27 ",,,
34," Rp47,208,738.27 ","Rp449,862.98","Rp354,065.54","Rp95,797.44"," Rp47,112,940.83 ",,,
35," Rp47,112,940.83 ","Rp449,862.98","Rp353,347.06","Rp96,515.92"," Rp47,016,424.91 ",,,
36," Rp47,016,424.91 ","Rp449,862.98","Rp352,623.19","Rp97,239.79"," Rp46,919,185.12 ",,,
37," Rp46,919,185.12 ","Rp449,862.98","Rp351,893.89","Rp97,969.09"," Rp46,821,216.03 ",,,
38," Rp46,821,216.03 ","Rp449,862.98","Rp351,159.12","Rp98,703.86"," Rp46,722,512.17 ",,,
39," Rp46,722,512.17 ","Rp449,862.98","Rp350,418.84","Rp99,444.14"," Rp46,623,068.04 ",,,
40," Rp46,623,068.04 ","Rp449,862.98","Rp349,673.01","Rp100,189.97"," Rp46,522,878.07 ",,,
41," Rp46,522,878.07 ","Rp449,862.98","Rp348,921.59","Rp100,941.39"," Rp46,421,936.68 ",,,
42," Rp46,421,936.68 ","Rp449,862.98","Rp348,164.53","Rp101,698.45"," Rp46,320,238.22 ",,,
43," Rp46,320,238.22 ","Rp449,862.98","Rp347,401.79","Rp102,461.19"," Rp46,217,777.03 ",,,
44," Rp46,217,777.03 ","Rp449,862.98","Rp346,633.33","Rp103,229.65"," Rp46,114,547.38 ",,,
45," Rp46,114,547.38 ","Rp449,862.98","Rp345,859.11","Rp104,003.87"," Rp46,010,543.51 ",,,
46," Rp46,010,543.51 ","Rp449,862.98","Rp345,079.08","Rp104,783.90"," Rp45,905,759.61 ",,,
47," Rp45,905,759.61 ","Rp449,862.98","Rp344,293.20","Rp105,569.78"," Rp45,800,189.83 ",,,
48," Rp45,800,189.83 ","Rp449,862.98","Rp343,501.42","Rp106,361.55"," Rp45,693,828.27 ",,,
49," Rp45,693,828.27 ","Rp449,862.98","Rp342,703.71","Rp107,159.27"," Rp45,586,669.01 ",,,
50," Rp45,586,669.01 ","Rp449,862.98","Rp341,900.02","Rp107,962.96"," Rp45,478,706.05 ",,,
51," Rp45,478,706.05 ","Rp449,862.98","Rp341,090.30","Rp108,772.68"," Rp45,369,933.37 ",,,
52," Rp45,369,933.37 ","Rp449,862.98","Rp340,274.50","Rp109,588.48"," Rp45,260,344.89 ",,,
53," Rp45,260,344.89 ","Rp449,862.98","Rp339,452.59","Rp110,410.39"," Rp45,149,934.50 ",,,
54," Rp45,149,934.50 ","Rp449,862.98","Rp338,624.51","Rp111,238.47"," Rp45,038,696.03 ",,,
55," Rp45,038,696.03 ","Rp449,862.98","Rp337,790.22","Rp112,072.76"," Rp44,926,623.27 ",,,
56," Rp44,926,623.27 ","Rp449,862.98","Rp336,949.67","Rp112,913.30"," Rp44,813,709.97 ",,,
57," Rp44,813,709.97 ","Rp449,862.98","Rp336,102.82","Rp113,760.15"," Rp44,699,949.81 ",,,
